fund,selected_source,date,price,fallback,zwitserleven_date,candidate_count,url
ASN Duurzaam Aandelenfonds,asn,2026-09-08,221.89,true,2026-09-07,2,https://www.asnbank.nl/beleggen/koersen.html
ASN Duurzaam Obligatiefonds,asn,2026-09-08,24.85,true,2026-09-07,2,https://www.asnbank.nl/beleggen/koersen.html
ASN Milieu & Waterfonds,asn,2026-09-08,54.34,true,2026-09-07,2,https://www.asnbank.nl/beleggen/koersen.html
RZL Aandelenfonds Amerika,reaal,2026-09-07,102.73,true,2026-09-07,2,https://www.reaal.nl/beleggen/rzl-amerika-aandelenfonds/
RZL Aandelenfonds Duurzaam Wereld,zwitserleven,2026-09-07,32.53,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
RZL Aandelenfonds Europa,reaal,2026-09-07,61.28,true,2026-09-07,2,https://www.reaal.nl/beleggen/rzl-europa-aandelenfonds/
RZL Aandelenfonds Europa 2,zwitserleven,2026-09-07,68.85,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
RZL Aandelenfonds Opkomende Landen,zwitserleven,2026-09-07,34.89,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
RZL Aandelenfonds Pacific,reaal,2026-09-07,53.11,true,2026-09-07,2,https://www.reaal.nl/beleggen/rzl-azie-aandelenfonds/
RZL Aandelenfonds Vastgoed,reaal,2026-09-07,46.68,true,2026-09-07,2,https://www.reaal.nl/beleggen/rzl-vastgoedfonds/
RZL Aandelenfonds Wereld,reaal,2026-09-07,68.08,true,2026-09-07,2,https://www.reaal.nl/beleggen/rzl-wereld-aandelenfonds/
RZL Aandelenfonds Wereld 2,zwitserleven,2026-09-07,85.07,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
RZL Diversificatiefonds,zwitserleven,2026-09-07,26.21,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
RZL Mixfonds,zwitserleven,2026-09-07,45.58,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
RZL Mixfonds 2,zwitserleven,2026-09-07,43.37,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
RZL Obligatiefonds,zwitserleven,2026-09-07,26.30,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
RZL Obligatiefonds 2,zwitserleven,2026-09-07,25.40,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
