date,fund,price
2026-02-20,ASN Duurzaam Aandelenfonds,198.6
2026-02-20,Zwitserleven RZL Euro Obligatiefonds,26.78
2026-02-20,ASN Milieu & Waterfonds,53.31
2026-02-20,Etappe Euro Aandelen­fonds,62.33
2026-02-20,Etappe Euro Obligatie­fonds,25.97
2026-02-20,Etappe Staatsobligaties 10+ Fonds,21.84
2026-02-20,Euro Aandelen­fonds,61.21
2026-02-20,Euro Mixfonds,39.57
2026-02-20,Zwitserleven PPI Vanguard Small Cap Fund,55.61
2026-02-20,Zwitserleven Amerika Aandelenfonds,99.04
2026-02-20,Optimaal Staatsobligaties 10+ Fonds,22.01
2026-02-20,Optimaal Vastgoedfonds,35.4
2026-02-20,Optimaal Wereld Aandelenfonds,73.86
2026-02-20,Optimaalfonds Oranje,38.08
2026-02-20,PP Euro Aandelenfonds,65.52
2026-02-20,PP Euro Mixfonds,42.63
2026-02-20,PP Euro Obligatiefonds,25.85
2026-02-20,PP Wereld Aandelenfonds,77.83
2026-02-20,Zwitserleven Mixfonds,59.52
2026-02-20,Optimaal Euro Obligatiefonds,24.96
2026-02-20,Zwitserleven Obligatiefonds,17.62
2026-02-20,Zwitserleven Index Aandelenfonds Europa,44.1
2026-02-20,Zwitserleven Duurzaam Wereld Aandelenfonds,37.4
2026-02-20,Zwitserleven Europees Aandelenfonds,38.57
2026-02-20,Zwitserleven Government Bonds 10+ Fonds,8.28
2026-02-20,Zwitserleven Credits Fonds,11.54
2026-02-20,Zwitserleven Index Aandelenfonds Noord-Amerika,49.05
2026-02-20,Zwitserleven Index Aandelenfonds Opkomende Landen,34.83
2026-02-20,Zwitserleven Long Duration Fonds,26.86
2026-02-20,Zwitserleven Index Wereld Aandelenfonds,90.18
2026-02-20,Zwitserleven MaatschappijGarantie (2%),41.6
2026-02-20,Zwitserleven Index Aandelenfonds Pacific,39.65
2026-02-20,Zwitserleven Kortlopend Obligatiefonds,6.09
2026-02-20,Zwitserleven Lifestyle Garantie,168.53
2026-02-20,Zwitserleven MaatschappijGarantie (3%),46.34
2026-02-20,Zwitserleven MaatschappijGarantie plus,53.39
2026-02-20,Zwitserleven Medium Duration Fonds,28.36
2026-02-20,PP Optimaal Euro Mixfonds,41.75
2026-02-20,Euro Obligatiefonds,24.76
2026-02-20,ASN Duurzaam Obligatiefonds,25.7
2026-02-20,Zwitserleven Credits Hypotheken Mixfonds,11.47
2026-02-20,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.8
2026-02-20,Zwitserleven PW Vastrentendfonds,19.61
2026-02-20,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.07
2026-02-20,Zwitserleven PW Doorlopend Garantiefonds,13.47
2026-02-20,Zwitserleven PW Europees Beheer Fonds 3%,188.05
2026-02-20,Zwitserleven PW Europees Beheer Fonds 4%,189.97
2026-02-20,Zwitserleven PW Garandement,15.97
2026-02-20,Zwitserleven PW Garantie Plusfonds,18.3
2026-02-20,Zwitserleven PW Garantiefonds,13.41
2026-02-20,Zwitserleven PW Vastrentendfonds Nederland 3%,20.08
2026-02-20,Zwitserleven PPI iShares Government Bond index Fund,50.56
2026-02-20,Zwitserleven RZL Europa Aandelenfonds,58.42
2026-02-20,Zwitserleven PW Vastrentendfonds Nederland 4%,20.08
2026-02-20,Zwitserleven PW Verzekerd Rendementfonds,15.11
2026-02-20,Zwitserleven PW Wereldbeheerfonds 3%,140.03
2026-02-20,Zwitserleven PW Wereldbeheerfonds 4%,141.28
2026-02-20,Zwitserleven RZL Amerika Aandelenfonds,90.35
2026-02-20,Zwitserleven RZL Vastgoedfonds,46.8
2026-02-20,Wereld Beheer Mixfonds,39.23
2026-02-20,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,50.65
2026-02-20,Zwitserleven RZL Euro Mixfonds,44.84
2026-02-20,Zwitserleven RZL Azië Aandelenfonds,50.39
2026-02-20,Zwitserleven PW Safetyfonds,112.34
2026-02-20,Zwitserleven PW Collectief Garantiefonds,20.23
2026-02-20,Zwitserleven RZL Wereld Aandelenfonds,62.36
2026-02-20,Zwitserleven RendementsGarantie 1%,23.11
2026-02-20,Zwitserleven RendementsGarantie 2%,26.24
2026-02-20,Zwitserleven VP Credits Hypothekenmix,10.07
2026-02-20,Zwitserleven VP Obligatie,8.91
2026-02-20,Zwitserleven VP Wereld Aandelen,13.53
2026-02-20,Zwitserleven Selectie Fonds,40.94
2026-02-20,Zwitserleven VP Selectie,10.42
2026-02-20,Zwitserleven Ultra Long Duration Fonds,22.66
2026-02-20,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.37
2026-02-20,Zwitserleven Vanguard Small Cap Fund,27.75
2026-02-20,Zwitser­leven Vanguard US 500 Stock Index Fund,25.32
2026-02-20,Zwitserleven Wereld Aandelenfonds,86.78
2026-02-20,Zwitser­leven Geldmarkt­fonds,25.21
2026-02-20,Zwitser­leven PPI Geldmarkt­fonds,50.41
